id	thingtalk	paraphrase	sentence	reason
50000178085	monitor (@org.thingpedia.weather.sunrise(location=makeLocation(34.0543942, -118.2439408))) => notify;	inform me if the time the sun rises and sets is updated for la	i get alerted any time sunrise and sunset for location Los Angeles, California update	Cannot find entity Absolute(34.0543942, -118.2439408, ) of type LOCATION, have {}
50000250330	monitor ((@com.uber.price_estimate(end=$context.location.current_location, start=$context.location.work)), duration <= 30min) => notify;	tell me how much it costs for an uber from work to over this place that will take less than half an hour.	watch the cost of an uber from work to here with duration smaller than 30 minutes	Cannot find entity 30 of type NUMBER, have {}
50000239980	monitor ((@com.uber.price_estimate(end=$context.location.current_location, start=$context.location.current_location)), low_estimate >= makeCurrency(3.5, usd)) => notify;	keep track of the price of an uber from here with a low estimate higher than 3.50	watch the price of an uber from here to here with low estimate bigger than $ 3.50	Cannot find entity Currency(3.5, usd) of type CURRENCY, have { NUMBER_0: 3.5 }
50000250331	monitor ((@com.uber.price_estimate(end=$context.location.current_location, start=$context.location.work)), duration <= 30min) => notify;	i'd like to know the price for an uber from the job to over here that takes less than half an hour.	watch the cost of an uber from work to here with duration smaller than 30 minutes	Cannot find entity 30 of type NUMBER, have {}
50000239981	monitor ((@com.uber.price_estimate(end=$context.location.current_location, start=$context.location.current_location)), low_estimate >= makeCurrency(3.5, usd)) => notify;	let me know if the uber price from here has the lowest estimate higher than 3.50	watch the price of an uber from here to here with low estimate bigger than $ 3.50	Cannot find entity Currency(3.5, usd) of type CURRENCY, have { NUMBER_0: 3.5 }
50000247855	monitor ((@com.uber.price_estimate(end=$context.location.work, start=$context.location.current_location)), high_estimate <= makeCurrency(3.5, usd)) => notify;	find uber prices from here to work that have a high estimate that's under 3.50	monitor the cost of an uber from here to work having smaller high estimate than $ 3.50	Cannot find entity Currency(3.5, usd) of type CURRENCY, have { NUMBER_0: 3.5 }
50000250333	monitor ((@com.uber.price_estimate(end=$context.location.current_location, start=$context.location.work)), duration <= 30min) => notify;	track the cost of uber ride from work to my location when trip duration is lower than one half hour	watch the cost of an uber from work to here with duration smaller than 30 minutes	Cannot find entity 30 of type NUMBER, have {}
40000093982	edge (monitor (@org.thingpedia.weather.current())) on wind_speed >= 70kmph => notify;	alert me when the wind speed is more than 70km/h	notify me when the wind speed is higher 70 km/h in the weather	Cannot find entity 70 of type NUMBER, have {}
30000025465	edge (monitor (@org.thingpedia.weather.current(location=makeLocation(34.0543942, -118.2439408)))) on cloudiness == 42 => notify;	let me know if la is supposed to have cloudiness level no less and no more than 42	notify me if the cloudiness is exactly 42 in the weather in Los Angeles, California	Cannot find entity Absolute(34.0543942, -118.2439408, ) of type LOCATION, have { NUMBER_0: 42 }
50000244401	monitor ((@com.uber.price_estimate(end=$context.location.work, start=$context.location.work)), low_estimate <= makeCurrency(3.5, usd)) => notify;	if the price of going work to work in uber is under 3.50 then give the price	monitor the price of an uber from work to work with smaller low estimate than $ 3.50	Cannot find entity Currency(3.5, usd) of type CURRENCY, have { NUMBER_0: 3.5 }
